Data,Hora,Prefixo,Empresa,Área,Linha,Local,Perda,Latitude,Longitude,Notes,,,,,,,,,,,,,,,
9/21/14,20h76,44.158,Express,4,4018/10,"Av. dos Metalúrgicos, 1.600 - Cidade Tiradentes",Perda Parcial,,,,,,,,,,,,,,,,,,
9/21/14,20h77,44.252,Express,4,4018/10,"Av. dos Metalúrgicos, sn° - Cidade Tiradentes",Perda Parcial,,,,,,,,,,,,,,,,,,
9/21/14,20h78,44.102,Express,4,4018/10,"Av. dos Metalúrgicos, 1.600 - Cidade Tiradentes",Perda Total,,,,,,,,,,,,,,,,,,
9/28/14,20h79,44.313,Express,4,4013/10,"Rua Severino de Freitas Prestes, 320 - Jd. Santo André",Perda Parcial,,,,,,,,,,,,,,,,,,
10/12/14,20h80,11.363,Santa Brígida,1,8622/10,"Estrada Cel. Jose Gladiador, 450 - Morro Doce",Perda Parcial,,,,,,,,,,,,,,,,,,
10/18/14,20h81,11.272,Santa Brígida,1,8047/41,"Estrada Turística do Jaraguá, 1.890 - Jaraguá",2,,,,,,,,,,,,,,,,,,
10/20/14,20h82,77.881,Transkuba,7,647P/10,"Rua Antonio Ramos Rosa, 467 - Jd. São Luis",Perda Parcial,,,,,,,,,,,,,,,,,,
10/26/14,20h83,21.2,Sambaíba,2,971D/10,"Av. Zaki Narchi, 500",Perda Parcial,,,,,,,,,,,,,,,,,,
10/27/14,20h84,44.713,Express,4,407C/10,"Rua Igarapé Serra Encantada, 10 - COHAB Inácio Monteiro",Perda Parcial,,,,,,,,,,,,,,,,,,
10/27/14,20h85,31.692,VIP/Transportes,3,4314/10,"Rua Igarapé Serra Encantada, 10 - COHAB Inácio Monteiro",Perda Parcial,,,,,,,,,,,,,,,,,,
11/2/14,20h86,44.145,Express,4,407J/10,"Rua Cristovão de Araujo, 15 - Guaianases",Perda Parcial,,,,,,,,,,,,,,,,,,
11/13/14,20h87,32.427,VIP/Transportes,3,2767/10,"Rua Flor de Inverno, 300 - Vila Jacuí",Perda Parcial,,,,,,,,,,,,,,,,,,
11/21/14,20h88,81.182,Transppass,1,809A/10,"Rua Doutor Virgílio Alvim Franco, 54",Perda Parcial,,,,,,,,,,,,,,,,,,
11/25/14,20h90,21.618,Sambaíba,2,172N/10,"Av. Zaki Narchi, 500",Perda Parcial,,,,,,,,,,,,,,,,,,
11/25/14,20h90,21.618,Sambaíba,2,172N/10,"Av. Zaki Narchi, 500",Perda Parcial,,,,,,,,,,,,,,,,,,
11/25/14,20h91,33.021,VIP/Transportes,3,4313/10,Terminal Cidade Tiradentes,Perda Parcial,,,,,,,,,,,,,,,,,,
11/29/14,20h92,6820/10,Campo Belo,7,6820/10,"Av. Felipe Carrillo puerto, 226",Perda Parcial,,,,,,,,,,,,,,,,,,
12/2/14,20h93,31.85,VIP/Transportes,3,2766/10,"Rua Tibúrcio de Souza, 2.680 - Itaim Paulista",Perda Total,,,,,,,,,,,,,,,,,,
12/14/14,20h94,31.85,VIP/Transportes,3,2766/10,"Rua Tibúrcio de Souza, 2.680 - Itaim Paulista",Perda Parcial,,,,,,,,,,,,,,,,,,
12/14/14,20h94,63.72,Mobibrasil,6,5106/21,"Rua ProfessornFreitas Julião, 21 - Cidade Ademar",Perda Parcial,,,,,,,,,,,,,,,,,,
12/23/14,20h96,82.436,Gato Preto,8,702U/10,"Av. Professor Almeida Prado, 0",Perda Parcial,,,,,,,,,,,,,,,,,,
12/23/14,20h97,21.804,Sambaíba,2,701U/10,"Av. Professor Almeida Prado, 0",Perda Parcial,,,,,,,,,,,,,,,,,,
12/23/14,20h98,82.993,Gato Preto,8,702U/10,"Av. Professor Almeida Prado, 0",Perda Parcial,,,,,,,,,,,,,,,,,,
1/1/15,21h40,33.459,VIP,3,2552/10,"Av. São Miguel, 6500 - Itaim Paulista",Perda Parcial,,,,,,,,,,,,,,,,,,
1/3/15,16h53,11.64,Santa Brígida,1,888P/10,"Estrada de Taipas, 2581 - Jaraguá",Perda Parcial,,,,,,,,,,,,,,,,,,
1/6/15,22h52,62.16,Tupi,6,5194/10,"R. Peixoto Melo Filho, 21 - Cidade Ademar",Perda Total,,,,,,,,,,,,,,,,,,
1/7/15,19h50,61.189,Cidade Dutra,6,637G/10,"Av. Dona Belmira Marin, 3560 - Grajaú",Perda Parcial,,,,,,,,,,,,,,,,,,
1/7/15,19h50,61.522,Cidade Dutra,6,637G/10,"Av. Dona Belmira Marin, 3560 - Grajaú",Perda Parcial,,,,,,,,,,,,,,,,,,
1/7/15,19h50,61.167,Cidade Dutra,6,637G/10,"Av. Dona Belmira Marin, 3560 - Grajaú",Perda Parcial,,,,,,,,,,,,,,,,,,
1/7/15,20h10,61.73,Cidade Dutra,6,637G/10,"Av. Dona Belmira Marin, 4201 - Grajaú",Perda Parcial,,,,,,,,,,,,,,,,,,
1/7/15,19h50,61.833,Cidade Dutra,6,637G/10,"Av. Dona Belmira Marin, 3560 - Grajaú",Perda Total,,,,,,,,,,,,,,,,,,
